"Downloaded on",03/04/2025,"18:24:24 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%2296%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 1704",https://www.congress.gov/bill/96th-congress/senate-bill/1704,"96th Congress (1979-1980)","A bill to amend title 23 of the United States Code in order to improve transportation throughout the Nation.","Weicker, Lowell P., Jr. [Sen.-R-CT] (Introduced 08/03/1979)",Republican,08/03/1979,"Senate - Environment and Public Works","Referred to Senate Committee on Environment and Public Works.",08/03/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Bikeways,Bridges,"Department of the Treasury","Federal aid highway program","Federal aid to transportation","Government trust funds","Interstate highway system","Mass rapid transit",Noise,"Roads and highways","Rural conditions","Transportation and Public Works","Urban highways","Urban transportation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Highway and Public Transportation Improvement Act of 1979 <b>Title I:  Amendments to Title 23, United States Code</b> - Amends Title 23, United States Code (Highways), to revise specified definitions contained in such title.  Modifies the definition of ""construction"" to include highway maintenance (thereby allowing States to use Federal system funds for maintaining projects constructed on a Federal system) and to include construction of public transportation projects within the scope of such title. <p>Eliminates the secondary Federal-aid system. Establishes a ""small urban and rural"" Federal-aid highway system. <p>Stipulates that funds apportioned to each State for the primary Federal-aid system may be spent for any project on the urban system or the small urban and rural system to the extent that such apportionment is attributable to urbanized areas, and small urban and rural areas. <p>Expands the urban system to include all transportation projects in urbanized areas except Interstate highway projects. <p>Stipulates that the Secretary of Transportation may withdraw approval of an Interstate highway within a State upon request of the Governor and local governments concerned (previously such requests were to be made by the State highway department). <p>Stipulates that, upon the joint request of the Governor and the local governments concerned, the Secretary may approve substitute projects for Interstate projects for other areas within a State (previously substitute projects were limited to the corridor or area from which the route was withdrawn). <p>Directs the Secretary, in determining cost estimates for withdrawn Interstate routes, to increase or decrease such cost in accordance with the increase or decrease in construction materials and labor to construct such a substitute project in the local market where the project is located. <p>Requires that all Interstate segments be under construction by September 30, 1986, unless sufficient Interstate funds are unavailable or unless such construction has not commenced due to judicial or administrative restraint. <p>Stipulates that any Interstate segment or substitute project which is not constructed by September 30, 1986, shall become a separate and individual project requiring separate authorizations and appropriations.  Ends Interstate apportionments as of such date. <p>Increases the Interstate apportionments which may be set aside by the Secretary for transportation planning. <p>Stipulates that the Governor of a State or the designated planning organization shall submit a single program of proposed projects to the Secretary for funding under either title 23 or the Urban Mass Transportation Act of 1964 as soon as practicable after apportionments have been made for such Acts. Removes the requirement that projects be selected with the concurrence of the State highway department. <p>Stipulates that in approving programs of projects, priority be given to the reconstruction of hazardous highways. <p>Authorizes the use of funds under title 23 for the acquisition of rights-of-way for all Federal-aid systems (previously such funds could be used only to acquire rights-of-way for highway systems). <p>Requires the Secretary to promulgate guidelines to assure that possible adverse economic, social, and environmental effects relating to proposed projects under title 23 or the Urban Mass Transportation Act of 1964 are minimized. <p>Directs the Secretary, in conjunction with the Administrator of the Environmental Protection Agency, to issue regulations to reduce noise levels at existing Federally funded transportation facilities.  Requires an area not meeting such standards to utilize at least five percent of its apportionment under title 23 and five percent of its apportionment under the Urban Mass Transportation Act of 1964 to retrofit such facilities to meet such standards. <p>Requires the Secretary and the Administrator to issue regulations to assure that all federally funded transportation projects (previously only highways) are consistent with air quality implementations plans under the Clean Air Act. <p>Prohibits the Secretary from approving transportation projects unless all reasonable alternatives have been considered and the proposed project minimizes specified adverse environmental, health, and economic effects. <p>Prohibits the Secretary from approving any highway project which would increase the vehicular or weightbearing capacity of any highway unless it conforms with the National Environmental Policy Act of 1969. <p>Repeals the provision which allows the Secretary to discharge any responsibilities under title 23 to the States. <p>Authorizes any State or designated recipient of title 23 funds to impose highway tolls only for the purpose of managing peak load demand on vehicular traffic.  Prohibits the use of funds from such tolls for highway purposes (except for the operation and maintenance of the toll facilities). <p>Sets forth the apportionment formula for small urban and rural transportation assistance under title 23. <p>Requires that States formulate five-year as well as long-range transportation plans to be eligible for Federal funding under title 23. Requires approval by the Secretary of such plans for project eligibility.  Sets forth determinations to be made by the Secretary in approving such plans.  Sets forth judicial review procedures with respect to final actions of the Secretary regarding transportation projects or plans. <p>Authorizes the Secretary to approve as a project eligible for funding under title 23 or the Urban Mass Transportation Act of 1964, the construction of exclusive or preferential bus lanes, highway traffic control devices, bus passenger loading areas and facilities, and fringe and transportation corridor parking facilities to serve bus and other public transportation passengers. <p>Prohibits the Secretary from approving a bridge safety rehabilitation or replacement project which would increase the traffic capacity of the road adjacent to the bridge. <p>Stipulates that urban system funds are to be allocated directly to urbanized areas having a population of 50,000 or more.  Stipulates that urban system funds attributable to urban of more than 5,000 but less than 50,000 population shall be allocated in accordance with a fair and equitable formula developed by the State. <p>Stipulates that funds allocated to an urbanized area may, upon approval of the local elected officials of the area and the Secretary, be transferred to the allocation of another such urbanized area in the State or to the State for use in any urbanized area. <p>Authorizes the Secretary to make grants to States and designated recipients for the construction or improvement of bicycle lanes and pedestrian walkways.  Directs the Secretary to establish construction standards for bicycle projects.  Authorizes appropriations in specified amounts for such grant program for fiscal years 1980 through 1983. <p>Requires States after October 1, 1981, to have a single State transportation agency to discharge the duties required by title 23 and the Urban Mass Transportation Act of 1964 and which shall have authority for the development of multi-modal transportation programs, planning, and policy in such State. <p>Directs the Secretary to make grants to States and urbanized area planning organizations for projects for the development of transportation plans and programs required under title 23 and the Urban Mass Transportation Act of 1964.  Stipulates that the Federal share of the development of such a plan shall be 80 percent of its cost unless the Secretary determines that the interests of the Federal program would be better served without matching funds. <p><b>Title II:  Termination of Highway Trust Fund</b> - Terminates the Highway Trust Fund as of September 30, 1980.  Stipulates that funding for title 23 projects shall be made from the general fund of the Treasury.",,,,,,
"S. 1703",https://www.congress.gov/bill/96th-congress/senate-bill/1703,"96th Congress (1979-1980)","A bill to amend the Internal Revenue Code of 1954 to provide an exclusion for income earned abroad attributable to certain charitable services.","Chafee, John H. [Sen.-R-RI] (Introduced 08/03/1979)",Republican,08/03/1979,"Senate - Finance","Referred to Senate Committee on Finance.",08/03/1979,"Baucus, Max [Sen.-D-MT]","Cochran, Thad [Sen.-R-MS]","Matsunaga, Spark M. [Sen.-D-HI]","Boren, David L. [Sen.-D-OK]","Cranston, Alan [Sen.-D-CA]","Durenberger, Dave [Sen.-R-MN]","Hatfield, Mark O. [Sen.-R-OR]","Jepsen, Roger W. [Sen.-R-IA]","Long, Russell B. [Sen.-D-LA]","Mathias, Charles McC., Jr. [Sen.-R-MD]","Ribicoff, Abraham A. [Sen.-D-CT]","Talmadge, Herman E. [Sen.-D-GA]","Wallop, Malcolm [Sen.-R-WY]","Moynihan, Daniel Patrick [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"Income tax","Personal income tax","Tax exclusion",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5184,,,,Senate,,"09/05/1979 Referred to House Committee on Ways and Means.",,,,"<p>Amends the Internal Revenue Code to provide a tax exclusion from personal income earned abroad by an individual performing qualified charitable services for a tax-exempt employer.  Limits such exclusion to an amount not to exceed a figure computed on a daily basis at an annual rate of $20,000.  Sets a formula for the maximum amount of exclusion for an individual who performs such charitable services and also performs other services while residing in a camp located in a hardship area.",,,,,,
"S. 1697",https://www.congress.gov/bill/96th-congress/senate-bill/1697,"96th Congress (1979-1980)","A bill to amend the Internal Revenue Code of 1954 to permit a credit, or exclusion from tax, for interest received on savings in residential finance institution.","Weicker, Lowell P., Jr. [Sen.-R-CT] (Introduced 08/03/1979)",Republican,08/03/1979,"Senate - Finance","Referred to Senate Committee on Finance.",08/03/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Finance and Financial Sector","Housing and Housing Finance","Housing finance","Income tax",Interest,"Mortgage banks",Mortgages,"Savings accounts","Tax credits","Tax exclusion",Taxation,"Tax incentives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>All Savers Tax Incentive Act of 1979 - Amends the Internal Revenue Code to allow a nonrefundable income tax credit for up to $250 of the interest income earned by a taxpayer from a savings account on deposit in a residential finance institution during a taxable year. Defines ""residential financial institution"" as a bank, savings association, or credit union which provides mortgage financing for the purchase of residential housing. <p>Allows an exclusion from gross income of interest income, in lieu of the credit provided by this Act. Limits the amount of such exclusion to $1,000.",,,,,,
"S. 1696",https://www.congress.gov/bill/96th-congress/senate-bill/1696,"96th Congress (1979-1980)","A bill to further the purpose of the Food and Agriculture Act of 1977 in providing price and income protection for farmers and assuring consumers of an abundance of food and fiber at reasonable prices.","Dole, Robert J. [Sen.-R-KS] (Introduced 08/03/1979)",Republican,08/03/1979,"Senate - Agriculture, Nutrition, and Forestry","Referred to Senate Committee on Agriculture, Nutrition and Forestry.",08/03/1979,"Boschwitz, Rudy [Sen.-R-MN]","Melcher, John [Sen.-D-MT]","Kassebaum, Nancy Landon [Sen.-R-KS]","McGovern, George [Sen.-D-SD]","Zorinsky, Edward [Sen.-D-NE]","Young, Milton R. [Sen.-R-ND]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Advisory bodies","Agricultural credit","Agricultural policies","Agricultural price supports","Agriculture and Rural Affairs","Agriculture and Food","Agriculture in foreign trade",Cotton,"Disaster relief","Disasters and Disaster Relief","Feed grain program","Foreign Trade and Investments","Government Operations and Politics",Imports,Rice,Soybeans,"Sugar and sugar trade",Wheat,"Executive reorganization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Food and Agriculture Act of 1977, effective for one or more of the 1980 and 1981 crops of upland cotton, feed grains, rice, and wheat, to authorize the Secretary of Agriculture to require producers not to exceed the acreage on the farm normally planted to crops designated by the Secretary.  States that such acreage shall be reduced by any set-aside or diverted acreage. <p>Authorizes the Secretary to increase the established price for any such commodity for which he requires producers not to exceed normally planted acreage. <p>Sets the established prices for the 1980 and 1981 crops of such commodities at not less than the established prices for the previous year's crop of the respective commodities adjusted to reflect any change in the inflation rate for such previous crop year.",,,,,,
"S. 1694",https://www.congress.gov/bill/96th-congress/senate-bill/1694,"96th Congress (1979-1980)","A bill to amend the Internal Revenue Code of 1954 to make permanent the allowance of a deduction for eliminating architectural and transportation barriers for the handicapped and to increase the amount of such deduction from $25,000 to $100,000.","Dole, Robert J. [Sen.-R-KS] (Introduced 08/03/1979)",Republican,08/03/1979,"Senate - Finance","Referred to Senate Committee on Finance.",08/03/1979,"Cohen, William S. [Sen.-R-ME]","Javits, Jacob K. [Sen.-R-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Architecture and the disabled","Capital investments",Disabled,"Income tax","Social Welfare","Tax deductions",Taxation,"Transportation and Travel","Transportation and the aged","Transportation and the physically handicapped","Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Internal Revenue Code to increase the allowable amount of the income tax deduction for eliminating architectural and transportation barriers for the handicapped and aged from $25,000 to $100,000. <p>Makes such tax deduction permanent.",,,,,,
"S. 1690",https://www.congress.gov/bill/96th-congress/senate-bill/1690,"96th Congress (1979-1980)","A bill to provide for conveyance of certain lands near Fairbanks, Alaska, to the University of Alaska.","Stevens, Ted [Sen.-R-AK] (Introduced 08/03/1979)",Republican,08/03/1979,"Senate - Energy and Natural Resources","Referred to Senate Committee on Energy and Natural Resources.",08/03/1979,"Gravel, Mike [Sen.-D-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alaska,Colleges,Education,"Higher education","Land transfers","Mining claims","Public Lands and Real Property","Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Authorizes the Secretary of the Interior to convey specified lands located near Fairbanks, Alaska, to the University of Alaska subject to a restriction on further conveyances.  Requires that the University receive title free of mining claims.",,,,,,
"S. 1688",https://www.congress.gov/bill/96th-congress/senate-bill/1688,"96th Congress (1979-1980)","A bill to amend the Internal Revenue Code of 1954 to clarify the extent to which a State, or political subdivision, may tax certain income from sources outside the United States.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 08/03/1979)",Republican,08/03/1979,"Senate - Finance","Referred to Senate Committee on Finance.",08/03/1979,"Huddleston, Walter (Dee) [Sen.-D-KY]","Javits, Jacob K. [Sen.-R-NY]","Morgan, Robert B. [Sen.-D-NC]","Nelson, Gaylord [Sen.-D-WI]","Talmadge, Herman E. [Sen.-D-GA]","Wallop, Malcolm [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Business and commerce","Corporation taxes",Corporations,"Corporations and Stocks",Dividends,"Foreign corporations","Local and Municipal Government","Local taxation","Securities and Investments","State taxation",States,Taxation,Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5076,,,,Senate,,"08/02/1979 Referred to House Committee on Ways and Means.",,,,"<p>Amends the Internal Revenue Code to prohibit any State, or political subdivision thereof, which imposes an income tax on a corporation from taking into account any amount of income belonging to, or attributable to, any foreign corporation which is also a member of an affiliated group to which the domestic corporation belongs, unless such amount is subject to Federal income tax. <p>Prohibits any State, or political subdivision thereof, from taxing or otherwise taking into account a certain percentage (determined according to specified formulae) of any dividend received by a corporation from a foreign corporation (or by a domestic corporation treated as having received such a dividend).  Allows such State, or political subdivision, to take into account only a tax for which a Federal foreign tax credit would be allowed.",,,,,,
"S. 1687",https://www.congress.gov/bill/96th-congress/senate-bill/1687,"96th Congress (1979-1980)","A bill to amend title 10, United States Code, to eliminate certain limitations imposed on excess profits arising from any contract with any military department of the United States for the construction or manufacture of all or part of any complete aircraft or any contract with the Secretary of the Navy for the construction or manufacture of all or part of any complete naval vessel, and for other purposes.","Lugar, Richard G. [Sen.-R-IN] (Introduced 08/03/1979)",Republican,08/03/1979,"Senate - Armed Services","Referred to Senate Committee on Armed Services.",08/03/1979,"Cranston, Alan [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Armed Forces and National Security","Defense articles","Department of Defense","Military aircraft",Navy,"Presidential powers","Presidents and Vice Presidents","Public Contracts, Procurement, and Property",Warships,"Defense contracts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3254,,,,Senate,,"03/27/1979 Referred to House Committee on Armed Services.",,,,"<p>Repeals specified defense contract requirements regarding the purchase of aircraft or naval vessels including:  (1) auditing requirements; (2) return of excess profits; and (3) subcontracting prohibitions.  Repeals the requirement that at least ten percent of naval aircraft and aircraft engines be manufactured in plants owned and operated by the United States. Removes the President's power to manufacture naval aircraft or aircraft parts in United States owned plants.",,,,,,
"S. 1686",https://www.congress.gov/bill/96th-congress/senate-bill/1686,"96th Congress (1979-1980)","A bill to designate the building known as the Federal Building in Wilmington, Delaware, as the ""J. Caleb Boggs Building"".","Roth Jr., William V. [Sen.-R-DE] (Introduced 08/03/1979)",Republican,08/03/1979,"House - Public Works and Transportation | Senate - Environment and Public Works","Public Law 96-134.",12/05/1979,"Biden, Joseph R., Jr. [Sen.-D-DE]","Randolph, Jennings [Sen.-D-WV]","Stafford, Robert T. [Sen.-R-VT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Delaware,"Federal office buildings","Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5228,,,,Senate,,"11/27/1979 Measure laid on table in House, S. 1686 passed in lieu.",,,,"<p>Designates the Federal Building in Wilmington, Delaware, as the J. Caleb Boggs Building.",,,,,,
"S. 1683",https://www.congress.gov/bill/96th-congress/senate-bill/1683,"96th Congress (1979-1980)","A bill to amend the Internal Revenue Code of 1954 to increase the amount of the annual gift tax exclusion from $3,000 to $6,000.","Hatch, Orrin G. [Sen.-R-UT] (Introduced 08/03/1979)",Republican,08/03/1979,"Senate - Finance","Referred to Senate Committee on Finance.",08/03/1979,"Cochran, Thad [Sen.-R-MS]","Domenici, Pete V. [Sen.-R-NM]","Schmitt, Harrison H. [Sen.-R-NM]","Thurmond, Strom [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Gift tax","Tax exclusion",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2820,,,,Senate,,"03/13/1979 Referred to House Committee on Ways and Means.",,,,"<p>Amends the Internal Revenue Code to increase the annual gift tax exclusion to $6,000.",,,,,,
