"Downloaded on",03/05/2025,"14:06:13 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%5B%22118%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%22Republican%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3798",https://www.congress.gov/bill/118th-congress/senate-bill/3798,"118th Congress (2023-2024)","A bill to amend the Internal Revenue Code of 1986 to require taxpayers claiming the child and earned income tax credits, and their qualifying children, to have a valid social security number for employment purposes.","Hyde-Smith, Cindy [Sen.-R-MS] (Introduced 02/12/2024)",Republican,02/12/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",02/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/17/2024 Referred to the Subcommittee on Social Security.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>This bill requires taxpayers who claim the child and earned income tax credits, and their qualifying children, to have a Social Security account number that is issued by the Social Security Administration prior to the tax return due date. This identification must indicate that the taxpayer has work authorization.</p>",,,,,,
"S. 3797",https://www.congress.gov/bill/118th-congress/senate-bill/3797,"118th Congress (2023-2024)","Purchased and Referred Care Improvement Act","Rounds, Mike [Sen.-R-SD] (Introduced 02/12/2024)",Republican,02/12/2024,"Senate - Indian Affairs","Read twice and referred to the Committee on Indian Affairs.",02/12/2024,"Cantwell, Maria [Sen.-D-WA]","Thune, John [Sen.-R-SD]","Hoeven, John [Sen.-R-ND]","Murray, Patty [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Native Americans","Health care costs and insurance","Indian social and development programs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/18/2024 Placed on the Union Calendar, Calendar No. 748.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3796",https://www.congress.gov/bill/118th-congress/senate-bill/3796,"118th Congress (2023-2024)","Keeping International Land Ports of Entry Open Act","Cruz, Ted [Sen.-R-TX] (Introduced 02/11/2024)",Republican,02/11/2024,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",02/11/2024,"Ricketts, Pete [Sen.-R-NE]","Scott, Rick [Sen.-R-FL]","Lee, Mike [Sen.-R-UT]","Blackburn, Marsha [Sen.-R-TN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Keeping International Land Ports of Entry Open Act</strong></p><p>This bill prohibits&nbsp;Department of Homeland Security (DHS) employees from being transferred out of any land port of entry along the U.S.-Mexico border, except in specified circumstances.</p><p>The bill permits transfers only if (1) the employee&nbsp;is immediately replaced by an employee of similar ability; (2) the transfer would not affect the processing of trade through the port of entry;&nbsp;or (3) the transfer&nbsp;is necessary to actively engage in physical detentions to secure the U.S.-Mexico border.&nbsp;</p><p>Further, DHS must provide a written notice and explanation of any such&nbsp;transfer to the public and to specified congressional committees no later than 24 hours after the transfer. The committees are the Committee on Homeland Security and Governmental Affairs of the Senate; the Committee on Commerce, Science, and Transportation of the Senate; the Committee on Homeland Security of the House of Representatives; and the Committee on Transportation and Infrastructure of the House of Representatives.</p>",,,,,,
"S. 3795",https://www.congress.gov/bill/118th-congress/senate-bill/3795,"118th Congress (2023-2024)","Remote Seafood Employee Meals Tax Parity Act","Murkowski, Lisa [Sen.-R-AK] (Introduced 02/09/2024)",Republican,02/09/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",02/09/2024,"Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"11/08/2023 Referred to the House Committee on Ways and Means.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><strong>Remote Seafood Employee Meals Tax Parity Act</strong></p> <p>This bill provides that the 50% limitation on the tax deduction for business meals shall not apply to meals provided on certain fishing vessels or at certain fish processing facilities.</p>",,,,,,
"S. 3790",https://www.congress.gov/bill/118th-congress/senate-bill/3790,"118th Congress (2023-2024)","Alaska Native Vietnam Era Veterans Land Allotment Extension Act of 2024","Sullivan, Dan [Sen.-R-AK] (Introduced 02/08/2024)",Republican,02/08/2024,"Senate - Energy and Natural Resources","Held at the desk.",12/20/2024,"Murkowski, Lisa [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Native Americans","Alaska Natives and Hawaiians",Alaska,"Conflicts and wars","Military history","Indian claims","Indian lands and resources rights","Land transfers","Veterans' organizations and recognition","Wilderness and natural areas, wildlife refuges, wild rivers, habitats",Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,S.3802,S.3789,H.R.7785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"02/26/2024 Read twice and referred to the Committee on Energy and Natural Resources.","02/08/2024 Read twice and referred to the Committee on Environment and Public Works.","03/21/2024 Referred to the House Committee on Natural Resources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3789",https://www.congress.gov/bill/118th-congress/senate-bill/3789,"118th Congress (2023-2024)","Alaska Native Vietnam Era Veterans Land Allotment Extension and Fulfillment Act of 2024","Sullivan, Dan [Sen.-R-AK] (Introduced 02/08/2024)",Republican,02/08/2024,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",02/08/2024,"Murkowski, Lisa [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Native Americans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,S.3790,H.R.7785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/20/2024 Held at the desk.","03/21/2024 Referred to the House Committee on Natural Resources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<html><body bgcolor=""#FFFFFF""><p><strong></strong><b>Alaska Native Vietnam Era Veterans Land Allotment Extension and Fulfillment Act of 2024</b></p> <p>This bill makes additional federal land available for selection under the Alaska Native Vietnam Era Veterans Land Allotment Program. The program makes Alaska Native veterans who served in the Armed Forces in Vietnam between August 5, 1964, and December 31, 1971, or their heirs eligible to receive up to 160 acres of federal land in Alaska.</p> <p> Specifically, the bill makes federal lands within units of the National Wildlife Refuge System in Alaska that were identified by the Department of the Interior in a November 2020 report as immediately available for allotment selection under the program. Interior identified over 3.6 million acres of land that should be made available for allotment selection by these veterans.</p></body></html>",,,,,,
"S. 3788",https://www.congress.gov/bill/118th-congress/senate-bill/3788,"118th Congress (2023-2024)","National Landslide Preparedness Act Reauthorization Act of 2024","Murkowski, Lisa [Sen.-R-AK] (Introduced 02/08/2024)",Republican,02/08/2024,"Senate - Commerce, Science, and Transportation","Placed on Senate Legislative Calendar under General Orders. Calendar No. 481.",08/01/2024,"Sullivan, Dan [Sen.-R-AK]","Cantwell, Maria [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Emergency Management","Emergency planning and evacuation","Natural disasters","Atmospheric science and weather","Higher education","Alaska Natives and Hawaiians","Geography and mapping","State and local government operations","Intergovernmental relations","Water use and supply","Environmental assessment, monitoring, research","Water storage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3786",https://www.congress.gov/bill/118th-congress/senate-bill/3786,"118th Congress (2023-2024)","Modernizing Access to Our Public Oceans Act","Cruz, Ted [Sen.-R-TX] (Introduced 02/08/2024)",Republican,02/08/2024,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",02/08/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Public Lands and Natural Resources","Government information and archives","Outdoor recreation","Navigation, waterways, harbors","Hunting and fishing","Geography and mapping","Internet, web applications, social media",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.7925,S.3889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"06/27/2024 Subcommittee Hearings Held","03/06/2024 Read twice and referred to the Committee on Commerce, Science, and Transportation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3785",https://www.congress.gov/bill/118th-congress/senate-bill/3785,"118th Congress (2023-2024)","Working Waterfronts Act of 2024","Murkowski, Lisa [Sen.-R-AK] (Introduced 02/08/2024)",Republican,02/08/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",02/08/2024,"Collins, Susan M. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,H.R.676,H.R.4940,H.R.6653,S.1808,S.2994,S.1756,S.3389,H.R.3873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"05/10/2023 Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation.","08/28/2023 Referred to the Subcommittee on General Farm Commodities, Risk Management, and Credit.","12/07/2023 Referred to the House Committee on Ways and Means.","06/06/2023 Read twice and referred to the Committee on Commerce, Science, and Transportation.","09/28/2023 Read twice and referred to the Committee on Finance.","05/30/2023 Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.","12/04/2023 Read twice and referred to the Committee on Commerce, Science, and Transportation.","06/07/2023 Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3783",https://www.congress.gov/bill/118th-congress/senate-bill/3783,"118th Congress (2023-2024)","CFIUS State's Right to Know Act of 2024","Cramer, Kevin [Sen.-R-ND] (Introduced 02/08/2024)",Republican,02/08/2024,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.",02/08/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3782",https://www.congress.gov/bill/118th-congress/senate-bill/3782,"118th Congress (2023-2024)","Jalisco Cartel Neutralization Act","Cotton, Tom [Sen.-R-AR] (Introduced 02/08/2024)",Republican,02/08/2024,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",02/08/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"International Affairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"02/09/2024 Referred to the House Committee on Armed Services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Jalisco Cartel Neutralization Act</strong></p><p>This bill requires the Department of Defense to brief Congress periodically on progress made toward capturing or killing the leadership of the Jalisco New Generation Cartel, also known as the&nbsp;<em>Cartel Jalisco Nueva Generación </em>or&nbsp;<em>CJNG.</em><br/></p>",,,,,,
"S. 3780",https://www.congress.gov/bill/118th-congress/senate-bill/3780,"118th Congress (2023-2024)","END CELLS Act","Hyde-Smith, Cindy [Sen.-R-MS] (Introduced 02/08/2024)",Republican,02/08/2024,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",02/08/2024,"Braun, Mike [Sen.-R-IN]","Wicker, Roger F. [Sen.-R-MS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Science, Technology, Communications","Telephone and wireless communication","Correctional facilities and imprisonment","Criminal procedure and sentencing","Civil actions and liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"06/16/2023 Referred to the Subcommittee on Communications and Technology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3777",https://www.congress.gov/bill/118th-congress/senate-bill/3777,"118th Congress (2023-2024)","Budgeting for Disasters Act","Romney, Mitt [Sen.-R-UT] (Introduced 02/08/2024)",Republican,02/08/2024,"Senate - Budget","Read twice and referred to the Committee on the Budget.",02/08/2024,"Braun, Mike [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Economics and Public Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3775",https://www.congress.gov/bill/118th-congress/senate-bill/3775,"118th Congress (2023-2024)","BOLD Infrastructure for Alzheimer's Reauthorization Act of 2024","Collins, Susan M. [Sen.-R-ME] (Introduced 02/08/2024)",Republican,02/08/2024,"Senate - Health, Education, Labor, and Pensions","Placed on Senate Legislative Calendar under General Orders. Calendar No. 425.",06/18/2024,"Warner, Mark R. [Sen.-D-VA]","Peters, Gary C. [Sen.-D-MI]","Bennet, Michael F. [Sen.-D-CO]","Kelly, Mark [Sen.-D-AZ]","Cortez Masto, Catherine [Sen.-D-NV]","Capito, Shelley Moore [Sen.-R-WV]","Kaine, Tim [Sen.-D-VA]","Tillis, Thomas [Sen.-R-NC]","Moran, Jerry [Sen.-R-KS]","Hyde-Smith, Cindy [Sen.-R-MS]","Blumenthal, Richard [Sen.-D-CT]","Stabenow, Debbie [Sen.-D-MI]","Wicker, Roger F. [Sen.-R-MS]","Klobuchar, Amy [Sen.-D-MN]","Murkowski, Lisa [Sen.-R-AK]","Sullivan, Dan [Sen.-R-AK]","Reed, Jack [Sen.-D-RI]","Whitehouse, Sheldon [Sen.-D-RI]","Lujan, Ben Ray [Sen.-D-NM]","Coons, Christopher A. [Sen.-D-DE]","Cantwell, Maria [Sen.-D-WA]","Menendez, Robert [Sen.-D-NJ]","Fischer, Deb [Sen.-R-NE]","Markey, Edward J. [Sen.-D-MA]","Warnock, Raphael G. [Sen.-D-GA]","Crapo, Mike [Sen.-R-ID]","Rounds, Mike [Sen.-R-SD]","Mullin, Markwayne [Sen.-R-OK]","Merkley, Jeff [Sen.-D-OR]","Marshall, Roger [Sen.-R-KS]","Baldwin, Tammy [Sen.-D-WI]","Smith, Tina [Sen.-D-MN]","Booker, Cory A. [Sen.-D-NJ]","Lankford, James [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,Health,"Neurological disorders","Health programs administration and funding","Health promotion and preventive care",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,House,CRS,"12/11/2024 Became Public Law No: 118-142.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3773",https://www.congress.gov/bill/118th-congress/senate-bill/3773,"118th Congress (2023-2024)","Strengthening Cybersecurity in Health Care Act","Rubio, Marco [Sen.-R-FL] (Introduced 02/08/2024)",Republican,02/08/2024,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",02/08/2024,"King, Angus S., Jr. [Sen.-I-ME]","Tillis, Thomas [Sen.-R-NC]","Hassan, Margaret Wood [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.8415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"05/17/2024 Referred to the Subcommittee on Health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3772",https://www.congress.gov/bill/118th-congress/senate-bill/3772,"118th Congress (2023-2024)","Simplifying Subcontracting Act","Risch, James E. [Sen.-R-ID] (Introduced 02/08/2024)",Republican,02/08/2024,"Senate - Small Business and Entrepreneurship","Placed on Senate Legislative Calendar under General Orders. Calendar No. 406.",05/23/2024,"Hickenlooper, John W. [Sen.-D-CO]","Budd, Ted [Sen.-R-NC]","Crapo, Mike [Sen.-R-ID]","Kennedy, John [Sen.-R-LA]","Rubio, Marco [Sen.-R-FL]","Young, Todd [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Commerce,"Public contracts and procurement","Contracts and agency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3771",https://www.congress.gov/bill/118th-congress/senate-bill/3771,"118th Congress (2023-2024)","Pay Our Correctional Officers Fairly Act","Cassidy, Bill [Sen.-R-LA] (Introduced 02/08/2024)",Republican,02/08/2024,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",02/08/2024,"Blumenthal, Richard [Sen.-D-CT]","Casey, Robert P., Jr. [Sen.-D-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Crime and Law Enforcement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"05/10/2023 Referred to the House Committee on Oversight and Accountability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3768",https://www.congress.gov/bill/118th-congress/senate-bill/3768,"118th Congress (2023-2024)","Supporting Rural Veterans Access to Healthcare Services Act","Cramer, Kevin [Sen.-R-ND] (Introduced 02/08/2024)",Republican,02/08/2024,"Senate - Veterans' Affairs","Read twice and referred to the Committee on Veterans' Affairs.",02/08/2024,"King, Angus S., Jr. [Sen.-I-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Armed Forces and National Security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3767",https://www.congress.gov/bill/118th-congress/senate-bill/3767,"118th Congress (2023-2024)","Justice for Fallen Law Enforcement Act","Tillis, Thomas [Sen.-R-NC] (Introduced 02/08/2024)",Republican,02/08/2024,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",02/08/2024,"Blackburn, Marsha [Sen.-R-TN]","Cornyn, John [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Crime and Law Enforcement","Criminal procedure and sentencing","Law enforcement officers","Violent crime","Assault and harassment offenses","Congressional oversight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3766",https://www.congress.gov/bill/118th-congress/senate-bill/3766,"118th Congress (2023-2024)","Connecting Caregivers to Medicare Act of 2024","Tillis, Thomas [Sen.-R-NC] (Introduced 02/07/2024)",Republican,02/07/2024,"Senate - Finance","Read twice and referred to the Committee on Finance.",02/07/2024,"Murkowski, Lisa [Sen.-R-AK]","Baldwin, Tammy [Sen.-D-WI]","Hassan, Margaret Wood [Sen.-D-NH]","Cassidy, Bill [Sen.-R-LA]","Smith, Tina [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/17/2024 Referred to the Subcommittee on Health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S. 3764",https://www.congress.gov/bill/118th-congress/senate-bill/3764,"118th Congress (2023-2024)","United States Commission on International Religious Freedom Reauthorization Act of 2024","Rubio, Marco [Sen.-R-FL] (Introduced 02/07/2024)",Republican,02/07/2024,"Senate - Foreign Relations","Became Public Law No: 118-90.",09/30/2024,"Cardin, Benjamin L. [Sen.-D-MD]","Cruz, Ted [Sen.-R-TX]","Coons, Christopher A. [Sen.-D-DE]","Lankford, James [Sen.-R-OK]","Durbin, Richard J. [Sen.-D-IL]","Budd, Ted [Sen.-R-NC]","Cassidy, Bill [Sen.-R-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"International Affairs","U.S. Commission on International Religious Freedom",Religion,"International organizations and cooperation","Human rights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"07/11/2024 Ordered to be Reported by Voice Vote.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>United States Commission on International Religious Freedom Reauthorization Act of 2024</strong></p><p>This bill reauthorizes the U.S. Commission on International Religious Freedom through FY2026.</p>",,,,,,
