"Downloaded on",03/05/2025,"13:27:53 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2297%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 607",https://www.congress.gov/bill/97th-congress/senate-bill/607,"97th Congress (1981-1982)","A bill to declare a national weather modification policy, to establish a national program of research and development in weather modification, to provide for the reporting of weather modification activities, and for other purposes.","Cannon, Howard W. [Sen.-D-NV] (Introduced 03/03/1981)",Democratic,03/03/1981,"Senate - Commerce, Science, and Transportation","Read second time and referred to Senate Committee on Commerce.",03/03/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Advisory bodies","Department of Commerce","Executive reorganization","Federal advisory bodies","Government paperwork","Government records, documents, and information",Grants-in-aid,"Information services","International Affairs","International cooperation in science",Research,"Research and development","Science, Technology, Communications","Scientific exchanges","Weather and Climate","Weather control",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Weather Modification Management Act of 1981 - Establishes, within the Department of Commerce, a National Weather Modification Management Program for the purpose of understanding, developing, improving, and managing weather modification technologies.  Requires such program to include: (1) basic and applied research to understand the atmospheric processes that could provide the scientific foundation for weather modification; (2) experimental weather modification activities to test the findings from such research and to develop prudent operational methods with predictable results; (3) development of instruments and techniques to enhance experimental and operational weather modification activities; (4) cooperative efforts between the Federal Government and universities, private interests, State and local governments, and other nations to obtain the maximum amount of scientific knowledge from weather modification projects; (5) studies on unintentional weather modification caused by society's use of land, water, and energy; (6) studies on the economic, environmental, legal, and societal effects from weather modification; (7) development of sound management practices for conducting weather modification projects; (8) a procedure for reporting weather modification activities in the United States; (9) periodic assessment of the need for Federal regulation of weather modification; and (10) a five-year plan for the management of Federal research and development efforts in weather modification. <p>Requires the Secretary of Commerce to appoint a Director to be the principal Federal officer responsible for planning and administering the Program, work with the interagency coordinating committee on weather modification, seek independent advice, consult and cooperate with the States and encourage cooperation with other nations in the exchange of modification and participate in international activities. <p>Directs the President to maintain an interagency coordinating committee on weather modification to consist of representatives from the Federal departments and agencies involved in the program. Requires each such department or agency with program duties and responsibilities to utilize the expertise and resources of universities, private interests, and State and local governments, ensure that each Federal weather modification project includes an environmental impact statement, and assist in the preparation of the annual report. <p>Requires the Director to develop a set of management practices for conducting weather modification projects.  Sets forth the areas such practices should address, including project design, implementation, and evaluation and data collection and availability. <p>Requires persons with primary supervisory responsibility for conducting any weather modification activity in the United States to prepare and maintain daily records for submission to the Secretary in a prescribed format.  Directs the Secretary to maintain and make available to the public a record of all reported weather modification activities in the United States. Establishes civil penalties for violations of the recordkeeping requirements. <p>Directs the Secretary to prepare and submit annually to the President and the authorizing committees of Congress a report on the activities conducted pursuant to this Act. <p>Permits any Federal department or agency to enter into contracts or make grants to carry out the purpose of this Act.  States that such contracts and grants may be: (1) up to 50 percent of the total annual cost of the project or activity to a State or local government; and (2) up to 100 percent of the total annual cost to any other entity.  Sets forth the terms and conditions for such contracts or grants, including the recordkeeping requirements. <p>Repeals a previous Act which required the reporting of weather modification activities to the Federal Government. <p>Authorizes appropriations to carry out the purposes of this Act for fiscal years 1982 through 1986.",,,,,,
"S. 606",https://www.congress.gov/bill/97th-congress/senate-bill/606,"97th Congress (1981-1982)","A bill to establish in the Department of State a Bureau of North American Affairs, and for other purposes.","Baucus, Max [Sen.-D-MT] (Introduced 03/03/1981)",Democratic,03/03/1981,"Senate - Foreign Relations","Read second time and referred to Senate Committee on Foreign Relations.",03/03/1981,"Domenici, Pete V. [Sen.-R-NM]","DeConcini, Dennis [Sen.-D-AZ]","Jepsen, Roger W. [Sen.-R-IA]","Murkowski, Frank H. [Sen.-R-AK]","Schmitt, Harrison H. [Sen.-R-NM]","Stevens, Ted [Sen.-R-AK]","Chiles, Lawton [Sen.-D-FL]","Gorton, Slade [Sen.-R-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Bahamas,Canada,"Caribbean area","Department of State","Executive reorganization","Federal officials","Government Operations and Politics","International Affairs",Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Establishes within the Department of State a Bureau of North American Affairs.  Requires the appointment of an Assistant Secretary for North American Affairs to head the Bureau and to have responsibility for activities of the Department relating to the Bahamas, Canada, Mexico, and the independent island countries in the Caribbean Sea other than Cuba. Requires the appointment of certain Deputy Assistant Secretaries who shall report to the Assistant Secretary.",,,,,,
"S. 603",https://www.congress.gov/bill/97th-congress/senate-bill/603,"97th Congress (1981-1982)","A bill to amend title 17 of the United States Code to exempt nonprofit veterans' organizations and nonprofit fraternal organizations from the requirement that certain performance royalties be paid to copyright holders.","Zorinsky, Edward [Sen.-D-NE] (Introduced 03/03/1981)",Democratic,03/03/1981,"Senate - Judiciary","Read second time and referred to Senate Committee on Judiciary.",03/03/1981,"Cochran, Thad [Sen.-R-MS]","Melcher, John [Sen.-D-MT]","DeConcini, Dennis [Sen.-D-AZ]","Simpson, Alan K. [Sen.-R-WY]","Thurmond, Strom [Sen.-R-SC]","Burdick, Quentin N. [Sen.-D-ND]","Exon, J. James [Sen.-D-NE]","Huddleston, Walter (Dee) [Sen.-D-KY]","Schmitt, Harrison H. [Sen.-R-NM]","Chiles, Lawton [Sen.-D-FL]","Grassley, Chuck [Sen.-R-IA]","East, John P. [Sen.-R-NC]","Kasten, Robert W., Jr. [Sen.-R-WI]","Jepsen, Roger W. [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"Armed Forces and National Security",Commerce,Copyright,"Fraternal organizations","Income tax","Patents, Trademarks, and Copyrights","Public Welfare and Charities","Tax-exempt organizations","Veterans' organizations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Exempts nonprofit veterans' organizations and nonprofit fraternal organizations from the requirement that nondramatic literary or musical performance royalties be paid to copyright holders.",,,,,,
"S. 602",https://www.congress.gov/bill/97th-congress/senate-bill/602,"97th Congress (1981-1982)","A bill to amend the investment credit provisions of the Internal Revenue Code of 1954 to provide for refundability of currently earned investment credits after the close of the year in which earned and for refundability of any previously earned but unused investment credit after the close of the last year to which the unused credit may be carried.","Riegle, Donald W., Jr. [Sen.-D-MI] (Introduced 03/03/1981)",Democratic,03/03/1981,"Senate - Finance","Committee on Finance requested executive comment from OMB; Treasury Department.",03/05/1981,"Williams, Harrison A., Jr. [Sen.-D-NJ]","Levin, Carl [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Business and commerce","Income tax","Investment tax credit","Tax credits",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends the Internal Revenue Code to provide for the refundability of currently earned investment tax credits after the close of the year in which earned and for the refundability of any previously earned but unused investment tax credits after the close of the last year to which the unused credit may be carried.",,,,,,
"S. 596",https://www.congress.gov/bill/97th-congress/senate-bill/596,"97th Congress (1981-1982)","A bill for the relief of Dennis L. Dalton and James Edward Dalton.","Sasser, Jim [Sen.-D-TN] (Introduced 02/27/1981)",Democratic,02/27/1981,"House - Judiciary | Senate - Judiciary","Passed Senate without amendment by Voice Vote.",10/01/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Provides that a named individual shall be deemed to have been continuously present in the United States for a specified period of time. <p>Provides that the natural child of such individual shall be deemed to be a national and citizen of the United States.",,,,,,
"S. 595",https://www.congress.gov/bill/97th-congress/senate-bill/595,"97th Congress (1981-1982)","A bill for the relief of Celemente Diaz Ibarra.","Sasser, Jim [Sen.-D-TN] (Introduced 02/27/1981)",Democratic,02/27/1981,"Senate - Judiciary","Read second time and referred to Senate Committee on Judiciary.",02/27/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 594",https://www.congress.gov/bill/97th-congress/senate-bill/594,"97th Congress (1981-1982)","A bill for the relief of Juan Aristorenas, doctor of medicine.","Sasser, Jim [Sen.-D-TN] (Introduced 02/27/1981)",Democratic,02/27/1981,"Senate - Judiciary","Read second time and referred to Senate Committee on Judiciary.",02/27/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 593",https://www.congress.gov/bill/97th-congress/senate-bill/593,"97th Congress (1981-1982)","A bill for the relief of Rosita N. Pacto.","Sasser, Jim [Sen.-D-TN] (Introduced 02/27/1981)",Democratic,02/27/1981,"House - Judiciary | Senate - Judiciary","Referred to House Committee on The Judiciary.",10/29/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 592",https://www.congress.gov/bill/97th-congress/senate-bill/592,"97th Congress (1981-1982)","A bill to amend the Act of October 5, 1978, to extend the duration of the Select Commission on Immigration and Refugee Policy.","DeConcini, Dennis [Sen.-D-AZ] (Introduced 02/27/1981)",Democratic,02/27/1981,"Senate - Judiciary","Read second time and referred to Senate Committee on Judiciary.",02/27/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Advisory bodies","Federal advisory bodies",Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends Federal law to extend the life of the Select Commission on Immigration and Refugee Policy for 30 additional days.",,,,,,
"S. 588",https://www.congress.gov/bill/97th-congress/senate-bill/588,"97th Congress (1981-1982)","A bill for the relief of George A. Albert.","Matsunaga, Spark M. [Sen.-D-HI] (Introduced 02/26/1981)",Democratic,02/26/1981,"Senate - Judiciary","Read second time and referred to Senate Committee on Judiciary.",02/26/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Claims,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Directs the Secretary of the Treasury to pay a specified sum to a named individual in full satisfaction of a claim against the United States arising from the wrongful termination of his employment with the Federal Government.",,,,,,
"S. 582",https://www.congress.gov/bill/97th-congress/senate-bill/582,"97th Congress (1981-1982)","A bill to amend the Congressional Budget Act of 1974 to require authorizing legislation for tax expenditures, and for other purposes.","Biden, Joseph R., Jr. [Sen.-D-DE] (Introduced 02/26/1981)",Democratic,02/26/1981,"Senate - Budget, Governmental Affairs","Committee on Budget. Hearings held.",09/23/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Congress and Congressmen","Congressional oversight","Economics and Public Finance","Federal budgets","House rules and procedure",Legislation,"Senate rules and procedure","Tax expenditures",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Tax Expenditure Control Act of 1981 - Amends the Congressional Budget Act of 1974 to make it out of order for the House of Representatives or the Senate to consider any bill or resolution which enacts a tax expenditure or the increase of an existing tax expenditure unless such enactment is authorized by law. <p>Requires such bills or resolutions to be reported in the House or Senate on or before May 15 preceding the fiscal year the new tax expenditure is to become effective.  Prohibits the consideration of a bill or resolution which authorizes new tax expenditures for more than ten consecutive calendar years. <p>Requires referral of any such bill or resolution to the committee of the House or Senate, as the case may be, which has jurisdiction over the activity such new tax expenditure is intended to affect. <p>Makes this Act effective the first day of the first session of the 98th Congress.  Repeals any tax expenditure enacted before the effective date of this Act on December 31, 1992.",,,,,,
"S. 581",https://www.congress.gov/bill/97th-congress/senate-bill/581,"97th Congress (1981-1982)","A bill to amend the Congressional Budget Act of 1974 to limit the period for which the enactment of new budget authority may be authorized, and for other purposes.","Biden, Joseph R., Jr. [Sen.-D-DE] (Introduced 02/26/1981)",Democratic,02/26/1981,"Senate - Budget, Governmental Affairs","Committee on Budget. Hearings held.",09/23/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Congress and Congressmen","Congressional budget","Economics and Public Finance","Federal budgets",Legislation,"Legislative procedure",Planning-programming-budgeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Federal Spending Control Act of 1981 - Amends the Congressional Budget Act of 1974 to make it out of order in either the Senate or the House of Representatives to consider any bill or resolution or amendment which:  (1) authorizes the enactment of new budget authority for a program for a period of more than four fiscal years or for an indefinite period; or (2) provides new budget authority for a program for any fiscal year beginning after two years after the effective date of this Act, unless the provision of such new budget authority is specifically authorized by law. <p>Provides for a waiver of such prohibition if any committee of the Senate determines that an authorization of the enactment of new budget authority for a period in excess of four fiscal years is necessary to accomplish the purposes for which such authorization is made. <p>Applies such prohibition to bills and resolutions which would extend authorizations existing on the effective date of this Act, if such extentions would provide new budget authority for any fiscal year beginning five years after such effective date.  Sets forth specific exceptions to such prohibition.  Allows a waiver of such prohibition if the Senate Committee on Appropriations determines that such provisions should not apply to a bill or resolution providing new budget authority for a particular program and reports a resolution to the Senate providing for such a waiver. <p>Sets forth the procedures for the consideration of such waiver resolutions in the Senate.",,,,,,
"S. 580",https://www.congress.gov/bill/97th-congress/senate-bill/580,"97th Congress (1981-1982)","A bill to establish program levels for the Small Business Administration Pollution Control Bond program.","Levin, Carl [Sen.-D-MI] (Introduced 02/26/1981)",Democratic,02/26/1981,"Senate - Small Business (Select)","Read second time and referred to Senate Committee on Small Business.",02/26/1981,"Riegle, Donald W., Jr. [Sen.-D-MI]","Glenn, John H., Jr. [Sen.-D-OH]","Hayakawa, Samuel Ichiye [Sen.-R-CA]","Pell, Claiborne [Sen.-D-RI]","Dixon, Alan J. [Sen.-D-IL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Air pollution control",Authorization,"Business and commerce",Commerce,"Economics and Public Finance","Environmental Protection","Federally-guaranteed loans","Pollution control","Small business","Water pollution control",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends the Small Business Act to increase authorizations for pollution control facility payment guarantees under the Small Business Investment Act of 1958 for fiscal years 1981 through 1984.",,,,,,
