"Downloaded on",03/04/2025,"18:22:53 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%2294%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 683",https://www.congress.gov/bill/94th-congress/senate-bill/683,"94th Congress (1975-1976)","A bill for the relief of Ghalam Reza Padash and his wife, Homa Ghasemshahi Padash.","Young, Milton R. [Sen.-R-ND] (Introduced 02/17/1975)",Republican,02/17/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",02/17/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Ghalam Reza Padash and his wife, Homa Ghasemshahi Padash.",,,,,,
"S. 682",https://www.congress.gov/bill/94th-congress/senate-bill/682,"94th Congress (1975-1976)","A bill for the relief of Giampaola (John Paul) Mantovani.","Javits, Jacob K. [Sen.-R-NY] (Introduced 02/13/1975)",Republican,02/13/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",02/13/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Giampaola (John Paul) Mantovani.",,,,,,
"S. 679",https://www.congress.gov/bill/94th-congress/senate-bill/679,"94th Congress (1975-1976)","A bill to amend the Internal Revenue Code of 1954 as it relates to the Federal estate tax, to increase the individual exemption when real property is involved, to provide an alternate method of valuing for estate tax purposes certain real property including that listed on the National Register of Historic Places, in order to encourage the preservation of open lands and historic places if they continue to be used as such for at least 5 years after the estate tax is applicable.","Dole, Robert J. [Sen.-R-KS] (Introduced 02/13/1975)",Republican,02/13/1975,"Senate - Finance","Referred to Senate Committee on Finance.",02/13/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Estate tax","Open space lands","Real estate appraisal","Real property",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Provides, under the Internal Revenue Code, that real property which is farmland, woodland, open space or is listed in the National Register of Historic Places may be valued for Federal estate tax purposes at its value for its existing use, rather than at its fair market value. <p>Provides for the revocation of such lower valuation and recapture of unpaid tax with interest upon the conversion, sale, or rezoning of such property for another use within five years of the date when the return for the tax was filed. <p>Provides for an increase in the individual exemption of the Federal estate tax.",,,,,,
"S. 678",https://www.congress.gov/bill/94th-congress/senate-bill/678,"94th Congress (1975-1976)","A bill to amend the Internal Revenue Code of 1954 as it relates to the Federal estate tax, to increase the individual exemption, to provide an alternate method of valuing for estate tax purposes certain real property including that listed on the National Register of Historic Places, in order to encourage the preservation of open lands and historic places if they continue to be used as such for at least 5 years after the estate tax is applicable.","Dole, Robert J. [Sen.-R-KS] (Introduced 02/13/1975)",Republican,02/13/1975,"Senate - Finance","Referred to Senate Committee on Finance.",02/13/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Estate tax","Open space lands","Real estate appraisal","Real property",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Provides, under the Internal Revenue Code, that real property which is farmland, woodland, open space or is listed in the National Register of Historic Places may be valued for Federal estate tax purposes at its value for its existing use, rather than at its fair market value. <p>Provides for the revocation of such lower valuation and recapture of unpaid tax with interest upon the conversion, sale, or rezoning of such property for another use within five years of the date when the return for the tax was filed. <p>Provides for an increase in the individual exemption of the Federal estate tax.",,,,,,
"S. 676",https://www.congress.gov/bill/94th-congress/senate-bill/676,"94th Congress (1975-1976)","A bill to authorize the Secretary of the Interior to enter into contracts for the development of the additional areas of the Heart Mountain Irrigation District.","Hansen, Clifford P. [Sen.-R-WY] (Introduced 02/12/1975)",Republican,02/12/1975,"Senate - Interior and Insular Affairs","Referred to Senate Committee on Interior and Insular Affairs.",02/12/1975,"McGee, Gale W. [Sen.-D-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Irrigation,"Irrigation districts","Public works",Rivers,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Authorizes the Secretary of the Interior to enter into construction contracts with the Heart Mountain Irrigation District of Wyoming for the development of the Ralston and North Cody pump areas.",,,,,,
"S. 667",https://www.congress.gov/bill/94th-congress/senate-bill/667,"94th Congress (1975-1976)","A bill to amend the Internal Revenue Code of 1954 to encourage the preservation and rehabilitation of historic buildings and structures and the rehabilitation of other property.","Beall, J. Glenn, Jr. [Sen.-R-MD] (Introduced 02/12/1975)",Republican,02/12/1975,"Senate - Finance","Referred to Senate Committee on Finance.",02/12/1975,"Abourezk, James [Sen.-D-SD]","Baker, Howard H., Jr. [Sen.-R-TN]","Brock, Bill [Sen.-R-TN]","Dole, Robert J. [Sen.-R-KS]","Domenici, Pete V. [Sen.-R-NM]","Goldwater, Barry [Sen.-R-AZ]","Hartke, Vance [Sen.-D-IN]","Javits, Jacob K. [Sen.-R-NY]","Mathias, Charles McC., Jr. [Sen.-R-MD]","McGovern, George [Sen.-D-SD]","McIntyre, Thomas J. [Sen.-D-NH]","Metcalf, Lee [Sen.-D-MT]","Scott, Hugh [Sen.-R-PA]","Stevens, Ted [Sen.-R-AK]","Stone, Richard (Dick) [Sen.-D-FL]","Taft, Robert, Jr. [Sen.-R-OH]","Tower, John G. [Sen.-R-TX]","Tunney, John V. [Sen.-D-CA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,"Historic sites","Income tax","Public Lands and Natural Resources","Tax deductions",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6373,,,,CRS,,"04/24/1975 Referred to House Committee on Ways and Means.",,,,"<p>Historic Structures Tax Act - Provides, under the Internal Revenue Code, for the preservation and rehabilitation of historic structures by allowing a tax deduction under the Internal Revenue Code with respect to the amortization of the amortizable basis of any certified historic structure based on a period of 60 months. <p>Specifies that no deduction shall be allowed for any expense or loss incurred as a result of the destruction of a certified historic structure.  Limits deductions on structures erected upon a site wich was occupied by a certified historic structure which was demolished or substantially altered. <p>Allows the taxpayer to compute the depreciation deduction attributable to substantially rehabilitated property as though the original use of such property commenced with him. <p>Permits deductions for transfer of the remainder or partial interests in property for conservation purposes.",,,,,,
"S. 665",https://www.congress.gov/bill/94th-congress/senate-bill/665,"94th Congress (1975-1976)","A bill to authorize a feasibility study of the West River Diversion Unit, Pick-Sloan Missouri Basin program in North Dakota and South Dakota.","Young, Milton R. [Sen.-R-ND] (Introduced 02/12/1975)",Republican,02/12/1975,"Senate - Interior and Insular Affairs","Referred to Senate Committee on Interior and Insular Affairs.",02/12/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"North Dakota","Public works",Rivers,"South Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Authorizes the Secretary of the Interior to engage in feasibility studies of the potential water resource development designated as the West River diversion unit, Pick-Sloan Missouri Basin program, in western North Dakota and South Dakota. Provides for cooperation with appropriate Satee agencies.",,,,,,
"S. 648",https://www.congress.gov/bill/94th-congress/senate-bill/648,"94th Congress (1975-1976)","A bill to amend section 502 of the Small Business Investment Act of 1958 to provide for loans for plant acquisition, and for other purposes.","Curtis, Carl T. [Sen.-R-NE] (Introduced 02/11/1975)",Republican,02/11/1975,"Senate - Banking, Housing, and Urban Affairs","Referred to Senate Committee on Banking, Housing and Urban Affairs.",02/11/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Business and commerce",Commerce,Credit,"Plant shutdowns","Small business",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Authorizes the Small Business Administration to make loans for plant acquisition.  States that loans made for the purpose of acquiring real property and constructing improvements thereon shall have a maturity of twenty years. Limits the maturity of other loans to 10 years.",,,,,,
"S. 647",https://www.congress.gov/bill/94th-congress/senate-bill/647,"94th Congress (1975-1976)","A bill provide for the certification of certain historic barns and to provide a tax credit for the costs of maintaining the exterior appearance and structural soundness of such barns.","Taft, Robert, Jr. [Sen.-R-OH] (Introduced 02/07/1975)",Republican,02/07/1975,"Senate - Finance","Referred to Senate Committee on Finance.",02/07/1975,"Bayh, Birch [Sen.-D-IN]","Scott, William Lloyd [Sen.-R-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Agriculture and Food","Historic sites","Income tax","Public Lands and Natural Resources","Tax credits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Preservation of Historic Barns Act - Allows, under the Internal Revenue Code, a tax credit of 10 percent of the amounts paid or incurred during the year by the taxpayer for maintaining the exterior appearance and structural soundness of any historic barn owned by him and certified by the Secretary of the Interior. <p>Authorizes the Secretary to certify, for purposes of this Act, any barn which: (1) was constructed at least 40 years prior to the year in which certification is made; and (2) is of historic or artistic significance because of its location or exterior appearance. <p>Stipulates that this Act shall apply to taxable years beginning after December 31, 1974.",,,,,,
"S. 646",https://www.congress.gov/bill/94th-congress/senate-bill/646,"94th Congress (1975-1976)","A bill for the relief of Mary P. Keefe.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 02/11/1975)",Republican,02/11/1975,"Senate - Post Office and Civil Service","Referred to Senate Committee on Post Office and Civil Service.",02/11/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Mary P. Keefe.",,,,,,
"S. 645",https://www.congress.gov/bill/94th-congress/senate-bill/645,"94th Congress (1975-1976)","A bill for the relief of John H. R. Berg.","Javits, Jacob K. [Sen.-R-NY] (Introduced 02/11/1975)",Republican,02/11/1975,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",02/11/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of John H. R. Berg.",,,,,,
"S. 640",https://www.congress.gov/bill/94th-congress/senate-bill/640,"94th Congress (1975-1976)","A bill to amend the Internal Revenue Code of 1954, to require the dyeing of heating fuel oil.","Percy, Charles H. [Sen.-R-IL] (Introduced 02/07/1975)",Republican,02/07/1975,"Senate - Finance","Referred to Senate Committee on Finance.",02/07/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Commerce,"Consumer protection",Fuel,Petroleum,"Petroleum and petroleum products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Dye Marking Act - Requires that any person who sells or distributes number 1 or number 2 fuel oil provide for the marking of such fuel oil.  Defines ""number 1 fuel oil"" and ""number 2 fuel oil"". <p>Stipulates that no person shall purchase or use any fuel oil marked in accordance with this Act for any diesel powered highway vehicle. <p>Directs the Administrator of the Federal Energy Administration to prescribe rules for such marking.  Directs the Administrator to insure compliance with the provisions of this Act. <p>Allows the Administrator or his delegate to enter the premises of any person who sells or distributes number 1 or number 2 fuel oil, and to have access to any motor vehicle owned by such person, for the purpose of insuring such compliance.",,,,,,
"S. 639",https://www.congress.gov/bill/94th-congress/senate-bill/639,"94th Congress (1975-1976)","A bill to amend the Internal Revenue Code of 1954 to provide income tax relief for small businesses.","Percy, Charles H. [Sen.-R-IL] (Introduced 02/07/1975)",Republican,02/07/1975,"Senate - Finance","Referred to Senate Committee on Finance.",02/07/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Commerce,"Corporation taxes",Corporations,"Income tax","Small business","Tax exemption",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Increases the corporate surtax exemption under the Internal Revenue Code to $100,000.",,,,,,
"S. 638",https://www.congress.gov/bill/94th-congress/senate-bill/638,"94th Congress (1975-1976)","A bill to amend the Internal Revenue Code of 1954 to increase Federal excise taxes on gasoline, tobacco, and alcohol, and to provide a credit against tax for the increased gasoline tax paid.","Percy, Charles H. [Sen.-R-IL] (Introduced 02/07/1975)",Republican,02/07/1975,"Senate - Finance","Referred to Senate Committee on Finance.",02/07/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Alcoholic beverages","Excise tax",Gasoline,"Income tax",Petroleum,"Petroleum and petroleum products","Tax credits",Taxation,Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Revenue Act - Imposes an additional excise tax on gasoline sold by a producer or importer of 20 cents per gallon for gasoline sold before January 1, 1976, and 30 cents per gallon for gasoline sold after that date. <p>Increases the taxes imposed on distilled spirits, cordials and liquers, brandys, wines, beers, cigars, and cigarettes. <p>Provides an income tax credit for taxpayers purchasing gasoline of up to $90, to be computed at the rate of 20 cents per gallon purchased during 1975.  States that for taxable years beginning after December 31, 1975, the allowable credit shall be increased to $120, computed at the rate of 30 cents per gallon of gasoline purchased.",,,,,,
"S. 637",https://www.congress.gov/bill/94th-congress/senate-bill/637,"94th Congress (1975-1976)","A bill to amend the Internal Revenue Code of 1954 to repeal the tax deduction for State and local gasoline taxes.","Percy, Charles H. [Sen.-R-IL] (Introduced 02/07/1975)",Republican,02/07/1975,"Senate - Finance","Referred to Senate Committee on Finance.",02/07/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Gasoline,"Gasoline tax","Income tax","Petroleum and petroleum products","Tax deductions",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Disallows the tax deduction under the Internal Revenue Code for State and local gasoline taxes.",,,,,,
"S. 636",https://www.congress.gov/bill/94th-congress/senate-bill/636,"94th Congress (1975-1976)","A bill to terminate the Highway Trust Fund.","Percy, Charles H. [Sen.-R-IL] (Introduced 02/07/1975)",Republican,02/07/1975,"Senate - Finance","Referred to Senate Committee on Finance.",02/07/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Highway finance","Intergovernmental fiscal relations","Roads and highways","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Terminates the Highway Trust Fund and covers its assets and liabilities into the general fund of the Treasury.",,,,,,
"S. 635",https://www.congress.gov/bill/94th-congress/senate-bill/635,"94th Congress (1975-1976)","A bill to establish an automobile efficiency tax incentive program, and for other purposes.","Percy, Charles H. [Sen.-R-IL] (Introduced 02/07/1975)",Republican,02/07/1975,"Senate - Finance","Referred to Senate Committee on Finance.",02/07/1975,"Taft, Robert, Jr. [Sen.-R-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Consumer protection","Excise tax",Fuel,"Income tax","Motor vehicles","Petroleum and petroleum products","Tax credits","Tax incentives",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Imposes a tax on each new automobile sold to a final purchaser. <p>Sets forth the tax based on fuel consumption rates.  Allows a tax credit against the tax. <p>Provides an increased tax and tax credit for calendar years 1977-1978, 1979-1980 , 1981-1982, and 1983 and thereafter. <p>Defines the terms used in this Act. <p>Requires the Administrator of the Environmental Protection Agency to determine the fuel consumption rate of each automobile with each available engine size, standard accessories, and standard tires. <p>States that the Administrator shall, not later than January 1, 1976, and by January 1 of each year thereafter, report to the Secretary of the Treasury a schedule of all rates to be known as the Automobile Fuel Consumption Schedule.  Requires the Automobile Fuel Consumption Schedule to be published in the Federal Register each year. <p>States that the label to be affixed to each new car under the Automobile Information Disclosure Act shall include:  (1) the fuel consumption rate determined to be applicable for such automobile; and (2) the tax paid or credit allowed under this Act.",,,,,,
"S. 634",https://www.congress.gov/bill/94th-congress/senate-bill/634,"94th Congress (1975-1976)","A bill to prohibit the use of Federal funds for the transportation of public school children without the written consent of their parents.","Roth Jr., William V. [Sen.-R-DE] (Introduced 02/07/1975)",Republican,02/07/1975,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",02/07/1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Busing (School integration)","Civil Rights and Liberties, Minority Issues","Desegregation in education",Education,Schools,"Student transportation",Students,Teachers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Neighborhood School Act - Prohibits the use of Federal funds for:  (1) the transportation of public school children because of race, color, national origin, creed, or sex without the voluntary consent of their parents, or (2) requiring or encouraging the assignment of teachers to any particular public school except by voluntary consent.",,,,,,
